Profit,Customers,Loan_Portfolio,Deposit_Portfolio,Operating_Expenses,GDP_Growth,Inflation,Interest_Rate,Stock_Index,Consumer_Confidence,Unemployment
-638807900.3770778,8270,442092,86487,30470,2.694065045198095,4.701104027856425,1.2855024263442805,2489.2388614277743,67.75579197132228,9.691059761149722
603796357.3072294,1860,324486,278071,28017,0.30314463033234096,3.0189849596454805,5.814700060684997,2217.7487048340217,141.5167137974555,6.821359687556041
-2039212396.758544,6390,352950,422592,20352,3.449998686544717,4.315677688678695,1.339279524233675,2078.3016704795573,96.5205433121671,6.47580207565077
-2060222193.2011864,6191,360914,362282,38365,3.4504827911892173,4.1124732464511355,8.272610354044204,2573.431825355661,56.31882792745162,2.1162730821279254
866348927.1098039,6734,128623,223895,24446,4.653034024232685,0.8667152648764043,3.886520720139618,2098.3449215902133,109.81874999385286,2.6475976161788486
-1277184601.137705,7265,415321,480424,7336,2.486562230844862,2.4290871445631574,6.061864367061288,2449.27454695665,110.18263486330478,6.61737301299197
650041528.2064711,1466,443170,366205,14879,1.1512546035525735,0.5846176776269574,3.5150077658701235,2940.4971985130105,56.45007586865618,9.489923102457626
2104495936.4770217,5426,387773,473875,37316,0.22281911724339576,3.4107658078081746,8.042501299422643,2952.8343891705845,147.2522495633662,8.93353078719516
-1445676755.9315803,6578,433137,151376,38340,2.0782109334295287,4.74949834123038,8.978522739777123,2239.3322865473588,104.40299652945757,9.860631383937637
-2116183643.912493,9322,233675,475106,12521,1.509583500387509,0.6854472903937825,4.587782447917576,2624.1134200456545,105.97957221797643,6.222672300490192
1179333938.543199,2685,439088,391278,11171,3.805441530119378,3.6694156540127065,8.766301541598901,2474.0762641078577,102.01154145023945,8.303447507502135
465662061.69889826,1769,263046,359199,28481,1.771338824205233,3.1611907543393047,3.4036750671069917,2875.685127586106,111.07317796446199,8.723202651914724
