Profit,Customers,Loan_Portfolio,Deposit_Portfolio,Operating_Expenses,GDP_Growth,Inflation,Interest_Rate,Stock_Index,Consumer_Confidence,Unemployment
-819579166.430198,8270.0,420210.0,296458.0,47405.0,3.978963347180505,1.4092738738669996,5.707880597531339,2258.2443882989583,136.55071258939802,7.129181063082378
468428934.5859372,1860.0,251664.0,338880.0,7557.0,4.450026709087831,0.5908241381082813,6.664587743217362,2459.1357562382614,,7.5515875557368
-1576451897.9543371,6390.0,,275281.0,43360.0,1.689975784257679,3.483685826820753,7.261738200861554,2980.032575285477,75.79028270449399,6.341795546780769
,6191.0,189182.0,162859.0,21482.0,1.87791476319972,3.14471423389942,5.090869582909959,2492.6180939928695,67.08875873900658,4.014392471255622
1403367646.3450718,,208338.0,424325.0,,0.469909699204345,,6.648022720756571,2328.7516102875084,116.8643219924431,4.7655679480313555
1700913829.0600867,7265.0,234064.0,444070.0,7961.0,2.89140070498087,3.675355219019429,6.258828807307902,2633.4008543167256,142.93759891275857,3.4527817344114053
387431514.24676555,1466.0,264020.0,402228.0,26357.0,0.17971136898371043,4.017404651924243,9.110422094418901,2240.1456187781932,105.67628930139298,9.267604490669026
807888397.2102823,5426.0,148806.0,481839.0,,2.3279900906623006,1.4101728628565324,1.409017423073121,2075.863328108664,107.16126894698999,
-1333724606.4582698,6578.0,450126.0,,7869.0,2.713223173537883,0.8871977188986141,3.528668706330073,2128.879721910649,77.99790936602841,5.206811334109119
,9322.0,423133.0,367824.0,,1.432706260641422,3.753073758204292,9.553703356689029,2128.0458389577725,,5.6960464291530615
378816555.0280876,2685.0,140982.0,307426.0,,2.9541663028450538,4.03417369633632,9.012374055018247,2151.9026935122943,68.70437485575233,9.578266716894522
303792923.7623473,1769.0,171626.0,,43467.0,0.15250124969524714,4.952525710003367,5.100910775071417,2138.82717264941,82.36792364042437,
1345022577.8975275,7949.0,169176.0,268164.0,28328.0,,2.0630883845571324,6.581193380213831,2640.8747448032145,92.54364386164167,6.689838656134378
1522602120.124489,3433.0,443422.0,363003.0,30876.0,4.113002803298292,1.860090428963916,3.496430646830194,2181.880084399145,100.7610378684455,6.047109431075728
1692294952.6405141,6311.0,268126.0,175657.0,26295.0,1.8009532070563146,,2.6930904375138516,2345.667283323863,74.24097324150802,6.891633883477183
1627810547.614605,6051.0,268969.0,,8987.0,0.6353025632594239,1.7040177012650892,5.173285644459839,2896.788409906012,,2.144881470566724
1279457326.6014805,,172409.0,207381.0,27399.0,2.611216300274022,4.653786628017824,4.180170052234475,,,8.976991271553212
160555638.56891102,2184.0,73419.0,244806.0,38986.0,3.849967765493054,4.2920637592150594,6.252905006657849,,78.86305532402558,9.4569462598689
-1551522580.001059,5555.0,493852.0,120467.0,25880.0,1.0791051374842158,2.1449701368750915,,2172.3198712016297,,6.5210654687136715
,4385.0,303618.0,233734.0,9735.0,3.114452379095001,3.754355338957487,,2192.289018808671,,7.573206591015138
,7396.0,295310.0,148506.0,49064.0,0.42673732496884,3.7727143704234116,9.875896700316426,2040.868616266479,,9.379995049418365
966897442.478614,9666.0,,159751.0,,0.2584086058430385,0.515619344179663,7.2834554261777065,2168.9350630721647,103.25894325515858,7.657909074507189
,3558.0,298550.0,,46914.0,2.65677315784074,4.512764533397833,5.824867297097083,2278.5903390319586,55.18235368224269,
1523289835.0454192,8849.0,172096.0,,,,,3.78574854657695,2177.010484276747,83.66042781939205,6.610306881334505
478873558.6466891,3047.0,157059.0,337486.0,24830.0,3.187149507491033,4.132287330538708,8.324155177362538,2088.702533757056,63.44146769389742,
882016939.1870373,3747.0,235340.0,218229.0,22429.0,3.6304566686133075,1.6002480051530588,,2120.635871100601,56.33749704727678,5.393045370419088
